policy,structure,tp,fp,fn,precision,recall,f1
minimal,regular,73,1,0,0.986486,1.000000,0.993197
minimal,structured,61,2,2,0.968254,0.968254,0.968254
minimal,unstructured,71,0,0,1.000000,1.000000,1.000000
