policy,domain,tp,fp,fn,precision,recall,f1
minimal,Chats,82,0,3,1.000000,0.964706,0.982036
minimal,E-Mail,33,0,6,1.000000,0.846154,0.916667
minimal,HR-Dokumente,23,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,22,0,0,1.000000,1.000000,1.000000
minimal,Verträge,33,0,6,1.000000,0.846154,0.916667
