policy,domain,structure,label,tp,fp,fn,precision,recall,f1
secure,Supporttickets,unstructured,ORG,2,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,unstructured,PER,4,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,unstructured,URL,2,0,0,1.000000,1.000000,1.000000
secure,Verträge,regular,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,Verträge,regular,LOC,8,0,0,1.000000,1.000000,1.000000
secure,Verträge,regular,ORG,1,0,0,1.000000,1.000000,1.000000
secure,Verträge,regular,PER,12,0,0,1.000000,1.000000,1.000000
secure,Verträge,regular,PLZ,4,0,0,1.000000,1.000000,1.000000
secure,Verträge,regular,STRASSE,4,0,0,1.000000,1.000000,1.000000
secure,Verträge,structured,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,Verträge,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,Verträge,structured,LOC,9,0,0,1.000000,1.000000,1.000000
secure,Verträge,structured,ORG,4,1,0,0.800000,1.000000,0.888889
secure,Verträge,structured,PER,6,0,0,1.000000,1.000000,1.000000
secure,Verträge,structured,PLZ,6,0,0,1.000000,1.000000,1.000000
secure,Verträge,structured,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,Verträge,unstructured,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,Verträge,unstructured,LOC,8,0,0,1.000000,1.000000,1.000000
secure,Verträge,unstructured,ORG,4,0,0,1.000000,1.000000,1.000000
secure,Verträge,unstructured,PER,6,0,0,1.000000,1.000000,1.000000
secure,Verträge,unstructured,PLZ,4,0,0,1.000000,1.000000,1.000000
secure,Verträge,unstructured,STRASSE,4,0,0,1.000000,1.000000,1.000000
