policy,structure,tp,fp,fn,precision,recall,f1
secure,regular,136,3,2,0.978417,0.985507,0.981949
secure,structured,131,6,2,0.956204,0.984962,0.970370
secure,unstructured,140,1,0,0.992908,1.000000,0.996441
