policy,mode,domain,structure,label,tp,fp,fn,precision,recall,f1
secure,combined,Verträge,unstructured,LOC,6,0,2,1.000000,0.750000,0.857143
secure,combined,Verträge,unstructured,ORG,4,0,0,1.000000,1.000000,1.000000
secure,combined,Verträge,unstructured,PER,5,0,1,1.000000,0.833333,0.909091
secure,combined,Verträge,unstructured,PLZ,4,0,0,1.000000,1.000000,1.000000
secure,combined,Verträge,unstructured,STRASSE,4,0,0,1.000000,1.000000,1.000000
secure,ner,Chats,regular,LOC,4,1,0,0.800000,1.000000,0.888889
secure,ner,Chats,regular,ORG,3,1,0,0.750000,1.000000,0.857143
secure,ner,Chats,regular,PER,21,0,1,1.000000,0.954545,0.976744
secure,ner,Chats,regular,STRASSE,0,0,3,0.000000,0.000000,0.000000
secure,ner,Chats,structured,LOC,1,0,0,1.000000,1.000000,1.000000
secure,ner,Chats,structured,ORG,1,5,0,0.166667,1.000000,0.285714
secure,ner,Chats,structured,PER,17,0,1,1.000000,0.944444,0.971429
secure,ner,Chats,structured,STRASSE,0,0,1,0.000000,0.000000,0.000000
secure,ner,Chats,unstructured,LOC,2,0,0,1.000000,1.000000,1.000000
secure,ner,Chats,unstructured,ORG,4,0,0,1.000000,1.000000,1.000000
secure,ner,Chats,unstructured,PER,25,1,1,0.961538,0.961538,0.961538
secure,ner,Chats,unstructured,STRASSE,0,0,2,0.000000,0.000000,0.000000
secure,ner,E-Mail,regular,ORG,2,0,0,1.000000,1.000000,1.000000
secure,ner,E-Mail,regular,PER,1,0,2,1.000000,0.333333,0.500000
secure,ner,E-Mail,structured,LOC,1,0,0,1.000000,1.000000,1.000000
secure,ner,E-Mail,structured,ORG,3,2,0,0.600000,1.000000,0.750000
secure,ner,E-Mail,structured,PER,4,0,1,1.000000,0.800000,0.888889
secure,ner,E-Mail,unstructured,ORG,3,1,2,0.750000,0.600000,0.666667
secure,ner,E-Mail,unstructured,PER,3,0,3,1.000000,0.500000,0.666667
secure,ner,HR-Dokumente,regular,LOC,5,1,0,0.833333,1.000000,0.909091
secure,ner,HR-Dokumente,regular,ORG,5,0,1,1.000000,0.833333,0.909091
secure,ner,HR-Dokumente,regular,PER,3,0,0,1.000000,1.000000,1.000000
secure,ner,HR-Dokumente,regular,STRASSE,0,0,1,0.000000,0.000000,0.000000
secure,ner,HR-Dokumente,structured,LOC,2,1,4,0.666667,0.333333,0.444444
secure,ner,HR-Dokumente,structured,ORG,5,1,1,0.833333,0.833333,0.833333
secure,ner,HR-Dokumente,structured,PER,2,0,0,1.000000,1.000000,1.000000
secure,ner,HR-Dokumente,structured,STRASSE,0,0,1,0.000000,0.000000,0.000000
secure,ner,HR-Dokumente,unstructured,LOC,2,0,0,1.000000,1.000000,1.000000
secure,ner,HR-Dokumente,unstructured,ORG,6,1,1,0.857143,0.857143,0.857143
secure,ner,HR-Dokumente,unstructured,PER,2,0,1,1.000000,0.666667,0.800000
secure,ner,Supporttickets,regular,ORG,1,0,1,1.000000,0.500000,0.666667
secure,ner,Supporttickets,regular,PER,3,0,1,1.000000,0.750000,0.857143
secure,ner,Supporttickets,structured,ORG,2,0,1,1.000000,0.666667,0.800000
secure,ner,Supporttickets,structured,PER,2,0,0,1.000000,1.000000,1.000000
secure,ner,Supporttickets,unstructured,ORG,2,0,0,1.000000,1.000000,1.000000
secure,ner,Supporttickets,unstructured,PER,4,0,0,1.000000,1.000000,1.000000
