policy,mode,tp,fp,fn,precision,recall,f1
secure,combined,371,16,39,0.958656,0.904878,0.930991
secure,ner,183,21,60,0.897059,0.753086,0.818792
secure,regex,188,1,1,0.994709,0.994709,0.994709
