policy,mode,domain,label,tp,fp,fn,precision,recall,f1
secure,combined,Supporttickets,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,ORG,5,0,2,1.000000,0.714286,0.833333
secure,combined,Supporttickets,PER,9,0,1,1.000000,0.900000,0.947368
secure,combined,Supporttickets,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,URL,5,0,0,1.000000,1.000000,1.000000
secure,combined,Verträge,DATUM,12,0,0,1.000000,1.000000,1.000000
secure,combined,Verträge,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,combined,Verträge,LOC,17,1,8,0.944444,0.680000,0.790698
secure,combined,Verträge,ORG,5,3,4,0.625000,0.555556,0.588235
secure,combined,Verträge,PER,18,0,6,1.000000,0.750000,0.857143
secure,combined,Verträge,PLZ,14,0,0,1.000000,1.000000,1.000000
secure,combined,Verträge,STRASSE,13,0,1,1.000000,0.928571,0.962963
secure,ner,Chats,LOC,7,1,0,0.875000,1.000000,0.933333
secure,ner,Chats,ORG,8,6,0,0.571429,1.000000,0.727273
secure,ner,Chats,PER,63,1,3,0.984375,0.954545,0.969231
secure,ner,Chats,STRASSE,0,0,6,0.000000,0.000000,0.000000
secure,ner,E-Mail,LOC,1,0,0,1.000000,1.000000,1.000000
secure,ner,E-Mail,ORG,8,3,2,0.727273,0.800000,0.761905
secure,ner,E-Mail,PER,8,0,6,1.000000,0.571429,0.727273
secure,ner,HR-Dokumente,LOC,9,2,4,0.818182,0.692308,0.750000
secure,ner,HR-Dokumente,ORG,16,2,3,0.888889,0.842105,0.864865
secure,ner,HR-Dokumente,PER,7,0,1,1.000000,0.875000,0.933333
secure,ner,HR-Dokumente,STRASSE,0,0,2,0.000000,0.000000,0.000000
secure,ner,Supporttickets,ORG,5,0,2,1.000000,0.714286,0.833333
secure,ner,Supporttickets,PER,9,0,1,1.000000,0.900000,0.947368
secure,ner,Verträge,LOC,17,2,8,0.894737,0.680000,0.772727
secure,ner,Verträge,ORG,5,3,4,0.625000,0.555556,0.588235
secure,ner,Verträge,PER,18,1,6,0.947368,0.750000,0.837209
secure,ner,Verträge,STRASSE,0,0,14,0.000000,0.000000,0.000000
secure,regex,Chats,DATUM,14,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,E_MAIL,8,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,PLZ,2,1,0,0.666667,1.000000,0.800000
secure,regex,Chats,STRASSE,6,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,URL,4,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,DATUM,15,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,E_MAIL,18,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,URL,2,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,DATUM,22,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,E_MAIL,7,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,PLZ,5,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,STRASSE,2,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,DATUM,9,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,TELEFON,6,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,URL,5,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,DATUM,12,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,PLZ,14,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,STRASSE,13,0,1,1.000000,0.928571,0.962963
