policy,mode,tp,fp,fn,precision,recall,f1
secure,combined,366,23,43,0.940874,0.894866,0.917293
secure,ner,196,26,46,0.882883,0.809917,0.844828
secure,regex,187,2,2,0.989418,0.989418,0.989418
