policy,domain,tp,fp,fn,precision,recall,f1
secure,Chats,112,24,8,0.823529,0.933333,0.875000
secure,E-Mail,57,7,10,0.890625,0.850746,0.870229
secure,HR-Dokumente,72,11,10,0.867470,0.878049,0.872727
secure,Supporttickets,36,13,7,0.734694,0.837209,0.782609
secure,Verträge,78,13,21,0.857143,0.787879,0.821053
