policy,domain,structure,label,tp,fp,fn,precision,recall,f1
secure,Supporttickets,structured,URL,2,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,unstructured,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,unstructured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,unstructured,LOC,0,1,0,0.000000,0.000000,0.000000
secure,Supporttickets,unstructured,ORG,0,3,2,0.000000,0.000000,0.000000
secure,Supporttickets,unstructured,PER,4,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,Supporttickets,unstructured,URL,2,0,0,1.000000,1.000000,1.000000
secure,Verträge,regular,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,Verträge,regular,LOC,6,0,2,1.000000,0.750000,0.857143
secure,Verträge,regular,ORG,1,1,0,0.500000,1.000000,0.666667
secure,Verträge,regular,PER,7,0,5,1.000000,0.583333,0.736842
secure,Verträge,regular,PLZ,4,0,0,1.000000,1.000000,1.000000
secure,Verträge,regular,STRASSE,4,0,0,1.000000,1.000000,1.000000
secure,Verträge,structured,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,Verträge,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,Verträge,structured,LOC,5,4,4,0.555556,0.555556,0.555556
secure,Verträge,structured,ORG,0,3,4,0.000000,0.000000,0.000000
secure,Verträge,structured,PER,6,0,0,1.000000,1.000000,1.000000
secure,Verträge,structured,PLZ,6,0,0,1.000000,1.000000,1.000000
secure,Verträge,structured,STRASSE,5,1,1,0.833333,0.833333,0.833333
secure,Verträge,unstructured,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,Verträge,unstructured,LOC,6,0,2,1.000000,0.750000,0.857143
secure,Verträge,unstructured,ORG,2,4,2,0.333333,0.500000,0.400000
secure,Verträge,unstructured,PER,5,0,1,1.000000,0.833333,0.909091
secure,Verträge,unstructured,PLZ,4,0,0,1.000000,1.000000,1.000000
secure,Verträge,unstructured,STRASSE,4,0,0,1.000000,1.000000,1.000000
