policy,mode,tp,fp,fn,precision,recall,f1
minimal,combined,189,0,18,1.000000,0.913043,0.954545
minimal,ner,122,2,22,0.983871,0.847222,0.910448
minimal,regex,84,0,1,1.000000,0.988235,0.994083
