policy,mode,structure,tp,fp,fn,precision,recall,f1
minimal,combined,regular,63,6,10,0.913043,0.863014,0.887324
minimal,combined,structured,60,3,3,0.952381,0.952381,0.952381
minimal,combined,unstructured,65,5,6,0.928571,0.915493,0.921986
minimal,ner,regular,36,11,16,0.765957,0.692308,0.727273
minimal,ner,structured,31,9,10,0.775000,0.756098,0.765432
minimal,ner,unstructured,39,11,12,0.780000,0.764706,0.772277
minimal,regex,regular,29,0,0,1.000000,1.000000,1.000000
minimal,regex,structured,29,0,1,1.000000,0.966667,0.983051
minimal,regex,unstructured,26,0,0,1.000000,1.000000,1.000000
