dataset,dataset_index,domain,structure,variant,policy,mode,tp,fp,fn,precision,recall,f1
Dataset_22,22,Verträge,regular,2,minimal,regex,2,0,0,1.000000,1.000000,1.000000
Dataset_22,22,Verträge,regular,2,minimal,ner,5,0,2,1.000000,0.714286,0.833333
Dataset_22,22,Verträge,regular,2,minimal,combined,5,0,2,1.000000,0.714286,0.833333
Dataset_23,23,Verträge,unstructured,1,minimal,regex,2,0,0,1.000000,1.000000,1.000000
Dataset_23,23,Verträge,unstructured,1,minimal,ner,3,1,1,0.750000,0.750000,0.750000
Dataset_23,23,Verträge,unstructured,1,minimal,combined,4,0,0,1.000000,1.000000,1.000000
Dataset_24,24,Verträge,unstructured,2,minimal,regex,2,0,0,1.000000,1.000000,1.000000
Dataset_24,24,Verträge,unstructured,2,minimal,ner,5,0,0,1.000000,1.000000,1.000000
Dataset_24,24,Verträge,unstructured,2,minimal,combined,5,0,0,1.000000,1.000000,1.000000
Dataset_25,25,Chats,structured,1,minimal,regex,4,0,0,1.000000,1.000000,1.000000
Dataset_25,25,Chats,structured,1,minimal,ner,9,0,0,1.000000,1.000000,1.000000
Dataset_25,25,Chats,structured,1,minimal,combined,12,0,0,1.000000,1.000000,1.000000
Dataset_26,26,Chats,structured,2,minimal,regex,1,0,0,1.000000,1.000000,1.000000
Dataset_26,26,Chats,structured,2,minimal,ner,10,1,0,0.909091,1.000000,0.952381
Dataset_26,26,Chats,structured,2,minimal,combined,11,1,0,0.916667,1.000000,0.956522
Dataset_27,27,Chats,regular,1,minimal,regex,4,0,0,1.000000,1.000000,1.000000
Dataset_27,27,Chats,regular,1,minimal,ner,12,1,0,0.923077,1.000000,0.960000
Dataset_27,27,Chats,regular,1,minimal,combined,15,1,0,0.937500,1.000000,0.967742
Dataset_28,28,Chats,regular,2,minimal,regex,2,0,0,1.000000,1.000000,1.000000
Dataset_28,28,Chats,regular,2,minimal,ner,6,1,1,0.857143,0.857143,0.857143
Dataset_28,28,Chats,regular,2,minimal,combined,7,1,0,0.875000,1.000000,0.933333
Dataset_29,29,Chats,unstructured,1,minimal,regex,3,0,0,1.000000,1.000000,1.000000
Dataset_29,29,Chats,unstructured,1,minimal,ner,13,1,1,0.928571,0.928571,0.928571
Dataset_29,29,Chats,unstructured,1,minimal,combined,16,0,0,1.000000,1.000000,1.000000
Dataset_30,30,Chats,unstructured,2,minimal,regex,2,0,0,1.000000,1.000000,1.000000
Dataset_30,30,Chats,unstructured,2,minimal,ner,12,0,0,1.000000,1.000000,1.000000
Dataset_30,30,Chats,unstructured,2,minimal,combined,13,0,0,1.000000,1.000000,1.000000
