policy,mode,tp,fp,fn,precision,recall,f1
minimal,combined,188,14,19,0.930693,0.908213,0.919315
minimal,ner,106,31,38,0.773723,0.736111,0.754448
minimal,regex,84,0,1,1.000000,0.988235,0.994083
