policy,structure,tp,fp,fn,precision,recall,f1
minimal,regular,72,1,1,0.986301,0.986301,0.986301
minimal,structured,61,1,2,0.983871,0.968254,0.976000
minimal,unstructured,71,0,0,1.000000,1.000000,1.000000
