policy,domain,tp,fp,fn,precision,recall,f1
minimal,Chats,83,1,1,0.988095,0.988095,0.988095
minimal,E-Mail,39,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,23,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,22,0,0,1.000000,1.000000,1.000000
minimal,Verträge,39,0,0,1.000000,1.000000,1.000000
